Company,Ticker Symbol,Stock Exchange,Sector,Sub-Industry,HQ City,HQ State,Employees,Founded,MarketCap ($Billions),Price,Price-26-week,Price-52-week,High-52-week,Low-52-week,Volume (thousands of shares)
Quanta,PWR,NYSE,Industrials,Construction & Engineering,Houston,Texas,"43,700",1997,16.24,113.53,120.83,93.82,140.04,84.40,"1,373"
Pool Corporation,POOL,Nasdaq,Consumer Discretionary,Distributors,Covington,Louisiana,"5,500",1993,16.23,393.46,561.57,429.66,582.27,377.52,592
Wabtec,WAB,NYSE,Industrials,Construction Machinery & Heavy Trucks,Pittsburgh,Pennsylvania,"25,000",1869,15.88,87.05,96.05,81.12,100.05,76.30,663
Healthpeak,PEAK,NYSE,Real Estate,Health Care REITs,Long Beach,California,196,1985,15.87,29.28,34.22,33.55,37.69,28.75,"4,681"
Akamai,AKAM,Nasdaq,Information Technology,Internet Services & Infrastructure,Cambridge,Massachusetts,"8,700",1998,15.63,98.48,111.80,115.16,123.25,93.74,"1,237"
Bio-Rad,BIO,NYSE,Health Care,Life Sciences Tools & Services,Hercules,California,"7,900",1952,15.55,523.32,741.16,592.93,832.70,468.86,163
Atmos Energy,ATO,NYSE,Utilities,Gas Utilities,Dallas,Texas,"4,684",1906,15.53,110.69,95.31,98.29,122.96,85.80,"1,295"
Brown & Brown,BRO,NYSE,Financials,Insurance Brokers,Daytona Beach,Florida,"12,023",1939,15.53,54.71,65.81,51.82,74.00,51.47,"2,291"
Evergy,EVRG,NYSE,Utilities,Electric Utilities,Kansas City,Missouri,"4,930",1909,15.47,66.70,66.20,61.43,73.13,59.46,"1,366"
Loews Corporation,L,NYSE,Financials,Multi-line Insurance,New York City,New York,"10,340",1959,15.45,62.94,57.40,57.36,68.20,51.35,"1,278"
Omnicom Group,OMC,NYSE,Communication Services,Advertising,New York City,New York,"71,700",1986,15.40,74.90,69.11,81.99,91.61,65.76,"1,224"
Conagra Brands,CAG,NYSE,Consumer Staples,Packaged Foods & Meats,Chicago,Illinois,"18,600",1919,15.22,31.74,31.53,38.11,39.09,30.06,"4,030"
Cardinal Health,CAH,NYSE,Health Care,Health Care Distributors,Dublin,Ohio,"47,300",1971,15.20,55.83,49.14,55.62,64.53,45.85,"2,083"
